Id,Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Temp,Humi,pitch,roll,yaw
163,0.81,-0.004675291,-0.05129607,0.9932714,72.09036,-528.2348,-236.5413,-0.150079,0.6573398,-0.01200562,28.97896,53.81809,0,0,0
164,0.815,-0.002665281,-0.0509335,0.9964276,118.4319,-606.4321,-292.7683,-0.1536556,0.6572201,-0.009484832,28.9763,53.79613,0,0,0
165,0.82,-0.002130016,-0.0528547,0.9992182,51.91297,-581.5907,-272.6812,-0.1605823,0.6558386,-0.007504275,28.97459,53.77571,0,0,0
166,0.825,-0.0007460036,-0.05085486,0.9975053,86.85674,-628.8185,-270.1849,-0.159423,0.6521853,-0.009148378,28.97387,53.75704,0,0,0
167,0.83,-0.002425133,-0.0514255,0.9971929,40.49738,-528.3444,-171.4675,-0.1545801,0.6513369,-0.01050465,28.97412,53.74024,0,0,0
168,0.835,-0.000285181,-0.04960186,0.9944558,71.96627,-599.7598,-204.6077,-0.1541336,0.6507447,-0.007554156,28.97535,53.72543,0,0,0
169,0.84,-0.005034373,-0.05258694,1.001771,123.621,-598.7372,-208.8357,-0.1560799,0.6513366,-0.004503116,28.9775,53.71268,0,0,0
170,0.845,-0.002756661,-0.04990821,1.000055,77.64539,-598.1465,-238.1129,-0.1532329,0.649273,-0.006361667,28.98054,53.70199,0,0,0
171,0.85,-0.006952683,-0.05127988,1.00393,12.93396,-580.9791,-168.4168,-0.150079,0.6483357,-0.01050583,28.98441,53.69334,0,0,0
172,0.855,-0.004318558,-0.04893363,0.9962321,-38.17924,-638.9423,-190.7648,-0.1533481,0.6479581,-0.01218996,28.98901,53.68665,0,0,0
173,0.86,-0.006074901,-0.04958768,1.001106,31.64222,-534.9409,-209.3769,-0.1605827,0.6513375,-0.01350836,28.99424,53.68176,0,0,0
174,0.865,-0.0039017,-0.05081443,1.000332,33.95494,-593.9131,-256.6683,-0.1621696,0.6538346,-0.01861417,28.99995,53.67848,0,0,0
